X-coordinate(mm)         Y-coordinate(mm)
                                
        0                   0          
        2                   0.067325467
        4                   0.116106195
        6                   0.291878073
        8                   0.57166175 
        10                  0.564405113
        12                  0.743402163
        14                  0.564405113
        16                  0.549891839
        18                  0.473697148
        20                  0.401130777
        22                  0.348318584
        24                  0.591012783
        26                  0.576499508
        28                  0.473697148
        30                  0.653097345
        32                  0.691396264
        34                  0.833303835
        36                  0.789764012
        38                  0.927236971
        40                  1.017944936
        42                  0.927236971
        44                  1.086882989
        46                  1.17920354 
        48                  0.927236971
        50                  0.927236971
        52                  1.017944936
        54                  1.017944936
        56                  1.026814159
        58                  1.014719764
        60                  1.017944936
        62                  1.020363815
        64                  1.088898722
        66                  1.153402163
        68                  1.011494592
        70                  1.148967552
        72                  1.29006883 
        74                  1.307000983
        76                  1.174365782
        78                  1.222743363
        80                  1.17920354 
        82                  1.220324484
        84                  1.261042281
        86                  1.335221239
        88                  1.17920354 
        90                  1.17920354 
        92                  1.197748279
        94                  1.17920354 
        96                  1.15259587 
        98                  1.017944936
        100                 0.886922321
