X-coordinate(mm)         Y-coordinate(mm)
                                       
    0                       0          
    2                       0.177645865
    4                       0.374429224
    6                       0.374429224
    8                       0.499654997
    10                      0.617808219
    12                      0.610735667
    14                      0.471988838
    16                      0.46970066 
    18                      0.450563166
    20                      0.391070523
    22                      0.374429224
    24                      0.506311517
    26                      0.518168442
    28                      0.374429224
    30                      0.374429224
    32                      0.374429224
    34                      0.322425165
    36                      0.280821918
    38                      0.280821918
    40                      0.280821918
    42                      0.148315576
    44                      0.201775748
    46                      0.280821918
    48                      0.160172501
    50                      0.163812785
    52                      0.328665652
    54                      0.374429224
    56                      0.426433283
    58                      0.561643836
    60                      0.497158803
    62                      0.504855403
    64                      0.564972095
    66                      0.488838153
    68                      0.4663724  
    70                      0.322425165
    72                      0.46803653 
    74                      0.428929477
    76                      0.356123795
    78                      0.365068493
    80                      0.359868087
    82                      0.374429224
    84                      0.374429224
    86                      0.399183156
    88                      0.374429224
    90                      0.331785895
    92                      0.446402841
    94                      0.432257737
    96                      0.301623541
    98                      0.275829528
    100                     0.332825977
