X-coordinate(mm)         Y-coordinate(mm)
                                            
      0                         0           
      2                         0.191441441 
      4                         0.191441441 
      6                         0.419894895 
      8                         0.541991992 
      10                        0.565815816 
      12                        0.574324324 
      14                        0.437762763 
      16                        0.130605606 
      18                        -0.017442442
      20                        0.287162162 
      22                        0.287162162 
      24                        0.0502002   
      26                        0.332682683 
      28                        -0.317792793
      30                        -0.455205205
      32                        -0.407982983
      34                        -0.52454955 
      36                        -0.924024024
      38                        -0.813413413
      40                        -0.716841842
      42                        -0.742792793
      44                        -0.762362362
      46                        -0.404154154
      48                        -0.257382382
      50                        -0.574324324
      52                        -0.609209209
      54                        -0.413088088
      56                        -0.287162162
      58                        -0.328003003
      60                        0.172297297 
      62                        -0.459034034
      64                        -0.574324324
      66                        -0.468393393
      68                        -0.613463463
      70                        -0.691316316
      72                        -0.786186186
      74                        -0.535610611
      76                        -0.643243243
      78                        -0.823623624
      80                        -0.738113113
      82                        -0.818943944
      84                        -1.148648649
      86                        -1.05462963 
      88                        -1.154604605
      90                        -0.844469469
      92                        -0.457332332
      94                        -0.316091091
      96                        -0.298648649
      98                        -0.371396396
      100                       -0.382882883
