X-coordinate(mm)         Y-coordinate(mm)
                                          
        0                     0           
        2                     0.494832041 
        4                     0.728682171 
        6                     0.904392765 
        8                     0.54005168  
        10                    0.045219638 
        12                    -0.612403101
        14                    -0.516795866
        16                    -0.036175711
        18                    0.387596899 
        20                    0.348837209 
        22                    0.313953488 
        24                    0.074935401 
        26                    -0.612403101
        28                    -0.617571059
        30                    -1.505167959
        32                    -2          
        34                    -1.73255814 
        36                    -0.994832041
        38                    -0.258397933
        40                    0.064599483 
        42                    0.180878553 
        44                    0.235142119 
        46                    0.941860465 
        48                    1.416020672 
        50                    1.369509044 
        52                    1.602067183 
        54                    1.710594315 
        56                    2.439276486 
        58                    3.015503876 
        60                    3.436692506 
        62                    3.355297158 
        64                    3.643410853 
        66                    3.562015504 
        68                    3.904392765 
        70                    3.95994832  
        72                    3.901808786 
        74                    3.727390181 
        76                    3.643410853 
        78                    3.777777778 
        80                    3.643410853 
        82                    3.23126615  
        84                    3.118863049 
        86                    2.739018088 
        88                    2.790697674 
        90                    2.38372093  
        92                    1.710594315 
        94                    1.26744186  
        96                    1.157622739 
        98                    1.391472868 
        100                   1.408268734 
