X-coordinate(mm)         Y-coordinate(mm)
                                                                        
       0                       0           
       2                       0.130776794 
       4                       0.139626352 
       6                       -0.802359882
       8                       -1.128810226
       10                      -1.381514258
       12                      -1.994100295
       14                      -2.363815143
       16                      -2.593411996
       18                      -3.000491642
       20                      -3.734021632
       22                      -4.237217306
       24                      -5.217305801
       26                      -5.422812193
       28                      -5.911996067
       30                      -6.133235005
       32                      -5.928711898
       34                      -5.819075713
       36                      -5.492133727
       38                      -4.948377581
       40                      -4.545231072
       42                      -3.717305801
       44                      -3.187315634
       46                      -2.593411996
       48                      -2.486234022
       50                      -1.929695182
       52                      -0.860373648
       54                      -0.049164208
       56                      0.147492625 
       58                      -0.036381514
       60                      0.302359882 
       62                      0.091445428 
       64                      -0.806293019
       66                      -1.712389381
       68                      -1.998852835
       70                      -2.659783677
       72                      -3.453785644
       74                      -3.352999017
       76                      -2.945919371
       78                      -2.593411996
       80                      -2.465585054
       82                      -2.010816126
       84                      -1.546214356
       86                      -1.283677483
       88                      -1.425762045
       90                      -1.155358899
       92                      -0.906588004
       94                      -0.909537856
       96                      -0.382989184
       98                      -0.230088496
       100                     0           
