X-coordinate(mm)         Y-coordinate(mm)
                                              
        0                     0           
        2                     -0.055555556
        4                     0.068888889 
        6                     0.106666667 
        8                     0.093333333 
        10                    0.222222222 
        12                    0.104444444 
        14                    0.422222222 
        16                    0.224444444 
        18                    0.664444444 
        20                    0.544444444 
        22                    0.748888889 
        24                    1.207777778 
        26                    1.224444444 
        28                    1.08        
        30                    1.222222222 
        32                    1.506666667 
        34                    2.113333333 
        36                    2.246666667 
        38                    2.722222222 
        40                    2.722222222 
        42                    2.622222222 
        44                    2.627777778 
        46                    2.477777778 
        48                    2.622222222 
        50                    2.877777778 
        52                    3.317777778 
        54                    3.442222222 
        56                    3.4         
        58                    3.4         
        60                    3.322222222 
        62                    2.846666667 
        64                    2.471111111 
        66                    1.968888889 
        68                    1.762222222 
        70                    1.722222222 
        72                    1.553333333 
        74                    2.091111111 
        76                    1.984444444 
        78                    1.722222222 
        80                    1.722222222 
        82                    1.871111111 
        84                    1.964444444 
        86                    2.006666667 
        88                    2.082222222 
        90                    2.122222222 
        92                    1.664444444 
        94                    1.797777778 
        96                    1.997777778 
        98                    2.055555556 
        100                   2.122222222 
