X-coordinate(mm)         Y-coordinate(mm)
                                           
        0                    0           
        2                    0.21040724  
        4                    0.5260181   
        6                    0.5260181   
        8                    0.333378582 
        10                   -0.278205128
        12                   -0.5260181  
        14                   -0.752088989
        16                   -1.48453997 
        18                   -1.706636501
        20                   -1.779110106
        22                   -2.274502262
        24                   -2.788597285
        26                   -3.278144796
        28                   -3.769095023
        30                   -3.997737557
        32                   -4.218431373
        34                   -4.588748115
        36                   -4.241342383
        38                   -3.997737557
        40                   -3.808371041
        42                   -3.600301659
        44                   -3.703634992
        46                   -3.471719457
        48                   -3.428702866
        50                   -3.892533937
        52                   -3.892533937
        54                   -3.74407994 
        56                   -3.910301659
        58                   -3.997737557
        60                   -3.829411765
        62                   -3.597730015
        64                   -3.412337858
        66                   -2.784856712
        68                   -1.992322775
        70                   -1.706636501
        72                   -1.578054299
        74                   -1.283951735
        76                   -0.740633484
        78                   -0.486040724
        80                   -0.10520362 
        82                   0.42081448  
        84                   0.5260181   
        86                   0.268853695 
        88                   0.44092006  
        90                   0.284049774 
        92                   0.171131222 
        94                   0.21040724  
        96                   -0.057043741
        98                   -0.621402715
        100                  -0.689668175
