X-coordinate(mm)         Y-coordinate(mm)
                                            
        0                   0           
        2                   0.062962963 
        4                   0.230864198 
        6                   0.230864198 
        8                   0.367283951 
        10                  0.393518519 
        12                  0.230864198 
        14                  0.472222222 
        16                  0.377777778 
        18                  0.241358025 
        20                  0.230864198 
        22                  0.125925926 
        24                  4.44089E-16 
        26                  -0.241358025
        28                  -0.14691358 
        30                  -0.118055556
        32                  0.367283951 
        34                  0.608641975 
        36                  0.608641975 
        38                  0.398765432 
        40                  0.535185185 
        42                  0.346296296 
        44                  0.398765432 
        46                  0.750308642 
        48                  0.986419753 
        50                  0.975925926 
        52                  0.724074074 
        54                  0.608641975 
        56                  0.797530864 
        58                  0.986419753 
        60                  1.080864198 
        62                  0.944444444 
        64                  0.986419753 
        66                  0.829012346 
        68                  0.419753086 
        70                  0.257098765 
        72                  0.493209877 
        74                  0.514197531 
        76                  0.272839506 
        78                  0.230864198 
        80                  0.251851852 
        82                  0.372530864 
        84                  0.230864198 
        86                  0.257098765 
        88                  0.157407407 
        90                  0.162654321 
        92                  0.440740741 
        94                  0.608641975 
        96                  0.608641975 
        98                  0.493209877 
        100                 0.661111111 
