X-coordinate(mm)         Y-coordinate(mm)
                                                                       
      0                     0           
      2                     0.711664153 
      4                     0.763700352 
      6                     0.791855204 
      8                     0.133735546 
      10                    -0.350678733
      12                    -1.020613374
      14                    -1.043237808
      16                    -0.524886878
      18                    -0.13800905 
      20                    0.419808949 
      22                    -0.054550025
      24                    -0.08496732 
      26                    0.313348416 
      28                    0.02513826  
      30                    0.633484163 
      32                    0.667169432 
      34                    0.631975867 
      36                    0.742081448 
      38                    0.791855204 
      40                    0.791855204 
      42                    1.122171946 
      44                    1.838109603 
      46                    2.508295626 
      48                    2.819004525 
      50                    2.689793866 
      52                    3.257415787 
      54                    3.942684766 
      56                    3.978381096 
      58                    4.339869281 
      60                    4.524886878 
      62                    5.141528406 
      64                    4.461035696 
      66                    4.09753645  
      68                    3.269482152 
      70                    2.907239819 
      72                    2.682252388 
      74                    3.144293615 
      76                    3.69984917  
      78                    4.489441931 
      80                    5.191050779 
      82                    4.06661639  
      84                    3.208144796 
      86                    2.618652589 
      88                    2.090497738 
      90                    1.827551533 
      92                    1.590246355 
      94                    1.689039718 
      96                    1.5057818   
      98                    2.177978884 
      100                   2.086475616 
