X-coordinate(mm)         Y-coordinate(mm)
                                                                        
      0                         0           
      4                         0.139626352 
      8                         -1.128810226
      12                        -1.994100295
      16                        -2.593411996
      20                        -3.734021632
      24                        -5.217305801
      28                        -5.911996067
      32                        -5.928711898
      36                        -5.492133727
      40                        -4.545231072
      44                        -3.187315634
      48                        -2.486234022
      52                        -0.860373648
      56                        0.147492625 
      60                        0.302359882 
      64                        -0.806293019
      68                        -1.998852835
      72                        -3.453785644
      76                        -2.945919371
      80                        -2.465585054
      84                        -1.546214356
      88                        -1.425762045
      92                        -0.906588004
      96                        -0.382989184
      100                       0           
