X-coordinate(mm)         Y-coordinate(mm)
                                          
      0                       0           
      4                       0.728682171 
      8                       0.54005168  
      12                      -0.612403101
      16                      -0.036175711
      20                      0.348837209 
      24                      0.074935401 
      28                      -0.617571059
      32                      -2          
      36                      -0.994832041
      40                      0.064599483 
      44                      0.235142119 
      48                      1.416020672 
      52                      1.602067183 
      56                      2.439276486 
      60                      3.436692506 
      64                      3.643410853 
      68                      3.904392765 
      72                      3.901808786 
      76                      3.643410853 
      80                      3.643410853 
      84                      3.118863049 
      88                      2.790697674 
      92                      1.710594315 
      96                      1.157622739 
      100                     1.408268734 
