X-coordinate(mm)         Y-coordinate(mm)
                                           
        0                      0          
        4                      0.230864198
        8                      0.367283951
        12                     0.230864198
        16                     0.377777778
        20                     0.230864198
        24                     4.44089E-16
        28                     -0.14691358
        32                     0.367283951
        36                     0.608641975
        40                     0.535185185
        44                     0.398765432
        48                     0.986419753
        52                     0.724074074
        56                     0.797530864
        60                     1.080864198
        64                     0.986419753
        68                     0.419753086
        72                     0.493209877
        76                     0.272839506
        80                     0.251851852
        84                     0.230864198
        88                     0.157407407
        92                     0.440740741
        96                     0.608641975
        100                    0.661111111
