X-coordinate(mm)         Y-coordinate(mm)
                                           
       0                      0           
       4                      0.5260181   
       8                      0.333378582 
       12                     -0.5260181  
       16                     -1.48453997 
       20                     -1.779110106
       24                     -2.788597285
       28                     -3.769095023
       32                     -4.218431373
       36                     -4.241342383
       40                     -3.808371041
       44                     -3.703634992
       48                     -3.428702866
       52                     -3.892533937
       56                     -3.910301659
       60                     -3.829411765
       64                     -3.412337858
       68                     -1.992322775
       72                     -1.578054299
       76                     -0.740633484
       80                     -0.10520362 
       84                     0.5260181   
       88                     0.44092006  
       92                     0.171131222 
       96                     -0.057043741
       100                    -0.689668175
