X-coordinate(mm)         Y-coordinate(mm)
                                       
        0                   0          
        4                   0.116106195
        8                   0.57166175 
        12                  0.743402163
        16                  0.549891839
        20                  0.401130777
        24                  0.591012783
        28                  0.473697148
        32                  0.691396264
        36                  0.789764012
        40                  1.017944936
        44                  1.086882989
        48                  0.927236971
        52                  1.017944936
        56                  1.026814159
        60                  1.017944936
        64                  1.088898722
        68                  1.011494592
        72                  1.29006883 
        76                  1.174365782
        80                  1.17920354 
        84                  1.261042281
        88                  1.17920354 
        92                  1.197748279
        96                  1.15259587 
        100                 0.886922321
