X-coordinate(mm)         Y-coordinate(mm)
                                             
         0                      0          
         4                      0.068888889
         8                      0.093333333
         12                     0.104444444
         16                     0.224444444
         20                     0.544444444
         24                     1.207777778
         28                     1.08       
         32                     1.506666667
         36                     2.246666667
         40                     2.722222222
         44                     2.627777778
         48                     2.622222222
         52                     3.317777778
         56                     3.4        
         60                     3.322222222
         64                     2.471111111
         68                     1.762222222
         72                     1.553333333
         76                     1.984444444
         80                     1.722222222
         84                     1.964444444
         88                     2.082222222
         92                     1.664444444
         96                     1.997777778
         100                    2.122222222
