X-coordinate(mm)         Y-coordinate(mm)
                                                                       
       0                         0           
       4                         0.763700352 
       8                         0.133735546 
       12                        -1.020613374
       16                        -0.524886878
       20                        0.419808949 
       24                        -0.08496732 
       28                        0.02513826  
       32                        0.667169432 
       36                        0.742081448 
       40                        0.791855204 
       44                        1.838109603 
       48                        2.819004525 
       52                        3.257415787 
       56                        3.978381096 
       60                        4.524886878 
       64                        4.461035696 
       68                        3.269482152 
       72                        2.682252388 
       76                        3.69984917  
       80                        5.191050779 
       84                        3.208144796 
       88                        2.090497738 
       92                        1.590246355 
       96                        1.5057818   
       100                       2.086475616 
