X-coordinate(mm)         Y-coordinate(mm)
                                         
        0                     0          
        4                     0.374429224
        8                     0.499654997
        12                    0.610735667
        16                    0.46970066 
        20                    0.391070523
        24                    0.506311517
        28                    0.374429224
        32                    0.374429224
        36                    0.280821918
        40                    0.280821918
        44                    0.201775748
        48                    0.160172501
        52                    0.328665652
        56                    0.426433283
        60                    0.497158803
        64                    0.564972095
        68                    0.4663724  
        72                    0.46803653 
        76                    0.356123795
        80                    0.359868087
        84                    0.374429224
        88                    0.374429224
        92                    0.446402841
        96                    0.301623541
        100                   0.332825977
