X-coordinate(mm)         Y-coordinate(mm)
                                                                           
      0                       0           
      4                       -0.209217738
      8                       0.25536871  
      12                      -0.150049826
      16                      -1.278026906
      20                      -0.894618834
      24                      0.911659193 
      28                      2.556053812 
      32                      1.561086198 
      36                      0.86243149  
      40                      -8.32667E-17
      44                      0.088041854 
      48                      -0.615346288
      52                      0.532511211 
      56                      1.018634778 
      60                      0.695814649 
      64                      1.716816143 
      68                      2.1295715   
      72                      1.644394619 
      76                      1.830891878 
      80                      0.231938216 
      84                      2.30470852  
      88                      2.295714998 
      92                      2.299501744 
      96                      1.437780269 
      100                     0.319506726 
