X-coordinate(mm)         Y-coordinate(mm)
                                            
        0                     0           
        4                     0.191441441 
        8                     0.541991992 
        12                    0.574324324 
        16                    0.130605606 
        20                    0.287162162 
        24                    0.0502002   
        28                    -0.317792793
        32                    -0.407982983
        36                    -0.924024024
        40                    -0.716841842
        44                    -0.762362362
        48                    -0.257382382
        52                    -0.609209209
        56                    -0.287162162
        60                    0.172297297 
        64                    -0.574324324
        68                    -0.613463463
        72                    -0.786186186
        76                    -0.643243243
        80                    -0.738113113
        84                    -1.148648649
        88                    -1.154604605
        92                    -0.457332332
        96                    -0.298648649
        100                   -0.382882883
