X-coordinate(mm)         Y-coordinate(mm)
                                                         
       0                        0           
       1                        0.050884956 
       2                        0.130776794 
       3                        0.282694199 
       4                        0.139626352 
       5                        -0.32079646 
       6                        -0.802359882
       7                        -1.11553589 
       8                        -1.128810226
       9                        -1.155358899
       10                       -1.381514258
       11                       -1.791543756
       12                       -1.994100295
       13                       -2.112831858
       14                       -2.363815143
       15                       -2.399213373
       16                       -2.593411996
       17                       -2.704031465
       18                       -3.000491642
       19                       -3.418879056
       20                       -3.734021632
       21                       -4.049164208
       22                       -4.237217306
       23                       -4.581366765
       24                       -5.217305801
       25                       -5.451081613
       26                       -5.422812193
       27                       -5.692969518
       28                       -5.911996067
       29                       -5.986725664
       30                       -6.133235005
       31                       -6.061578171
       32                       -5.928711898
       33                       -5.847836775
       34                       -5.819075713
       35                       -5.74053589 
       36                       -5.492133727
       37                       -5.179695182
       38                       -4.948377581
       39                       -4.790314651
       40                       -4.545231072
       41                       -4.217305801
       42                       -3.717305801
       43                       -3.503195674
       44                       -3.187315634
       45                       -2.770403147
       46                       -2.593411996
       47                       -2.468780728
       48                       -2.486234022
       49                       -2.297935103
       50                       -1.929695182
       51                       -1.40093412 
       52                       -0.860373648
       53                       -0.194936087
       54                       -0.049164208
       55                       0.076204523 
       56                       0.147492625 
       57                       -0.013765978
       58                       -0.036381514
       59                       0.282694199 
       60                       0.302359882 
       61                       0.145280236 
       62                       0.091445428 
       63                       -0.384955752
       64                       -0.806293019
       65                       -1.392576205
       66                       -1.712389381
       67                       -1.83972468 
       68                       -1.998852835
       69                       -2.147000983
       70                       -2.659783677
       71                       -3.210668633
       72                       -3.453785644
       73                       -3.477876106
       74                       -3.352999017
       75                       -3.085054081
       76                       -2.945919371
       77                       -2.704031465
       78                       -2.593411996
       79                       -2.469518191
       80                       -2.465585054
       81                       -2.398230088
       82                       -2.010816126
       83                       -1.754916421
       84                       -1.546214356
       85                       -1.293018682
       86                       -1.283677483
       87                       -1.343903638
       88                       -1.425762045
       89                       -1.265978368
       90                       -1.155358899
       91                       -0.97173058 
       92                       -0.906588004
       93                       -0.832350049
       94                       -0.909537856
       95                       -0.538348083
       96                       -0.382989184
       97                       -0.327679449
       98                       -0.230088496
       99                       -0.07792527 
       100                      0           
