X-coordinate(mm)         Y-coordinate(mm)
                  
    0                         0           
    1                         -0.141101278
    2                         0.067325467 
    3                         0.16226647  
    4                         0.116106195 
    5                         0.342674533 
    6                         0.291878073 
    7                         0.33259587  
    8                         0.57166175  
    9                         0.7016765   
    10                        0.564405113 
    11                        0.659749263 
    12                        0.743402163 
    13                        0.645639135 
    14                        0.564405113 
    15                        0.555334317 
    16                        0.549891839 
    17                        0.389439528 
    18                        0.473697148 
    19                        0.388431662 
    20                        0.401130777 
    21                        0.413426745 
    22                        0.348318584 
    23                        0.342674533 
    24                        0.591012783 
    25                        0.70046706  
    26                        0.576499508 
    27                        0.542836775 
    28                        0.473697148 
    29                        0.564405113 
    30                        0.653097345 
    31                        0.807905605 
    32                        0.691396264 
    33                        0.748643068 
    34                        0.833303835 
    35                        0.741789577 
    36                        0.789764012 
    37                        0.796214356 
    38                        0.927236971 
    39                        1.000609636 
    40                        1.017944936 
    41                        0.987507375 
    42                        0.927236971 
    43                        1.017944936 
    44                        1.086882989 
    45                        1.17920354  
    46                        1.17920354  
    47                        1.017944936 
    48                        0.927236971 
    49                        0.927236971 
    50                        0.927236971 
    51                        1.017944936 
    52                        1.017944936 
    53                        1.017944936 
    54                        1.017944936 
    55                        1.017944936 
    56                        1.026814159 
    57                        0.984886922 
    58                        1.014719764 
    59                        1.062089479 
    60                        1.017944936 
    61                        1.006253687 
    62                        1.020363815 
    63                        1.049591937 
    64                        1.088898722 
    65                        1.131833825 
    66                        1.153402163 
    67                        1.047173058 
    68                        1.011494592 
    69                        1.017944936 
    70                        1.148967552 
    71                        1.199360865 
    72                        1.29006883  
    73                        1.201175025 
    74                        1.307000983 
    75                        1.25479351  
    76                        1.174365782 
    77                        1.161666667 
    78                        1.222743363 
    79                        1.156022616 
    80                        1.17920354  
    81                        1.112885939 
    82                        1.220324484 
    83                        1.117118977 
    84                        1.261042281 
    85                        1.344493609 
    86                        1.335221239 
    87                        1.233829892 
    88                        1.17920354  
    89                        1.072369715 
    90                        1.17920354  
    91                        1.2126647   
    92                        1.197748279 
    93                        1.092123894 
    94                        1.17920354  
    95                        1.102605703 
    96                        1.15259587  
    97                        1.053421829 
    98                        1.017944936 
    99                        0.860113078 
    100                       0.886922321 
