X-coordinate(mm)         Y-coordinate(mm)
                             
     0                       0           
     1                       0.0753003   
     2                       0.191441441 
     3                       0.04232983  
     4                       0.191441441 
     5                       0.471158659 
     6                       0.419894895 
     7                       0.473073073 
     8                       0.541991992 
     9                       0.405643143 
     10                      0.565815816 
     11                      0.54964965  
     12                      0.574324324 
     13                      0.455417918 
     14                      0.437762763 
     15                      0.221221221 
     16                      0.130605606 
     17                      -0.013826326
     18                      -0.017442442
     19                      0.208671171 
     20                      0.287162162 
     21                      0.191441441 
     22                      0.287162162 
     23                      0.053178178 
     24                      0.0502002   
     25                      0.156875626 
     26                      0.332682683 
     27                      0.061473974 
     28                      -0.317792793
     29                      -0.633671171
     30                      -0.455205205
     31                      -0.469031532
     32                      -0.407982983
     33                      -0.473073073
     34                      -0.52454955 
     35                      -0.684934935
     36                      -0.924024024
     37                      -0.808308308
     38                      -0.813413413
     39                      -0.539652152
     40                      -0.716841842
     41                      -0.913175676
     42                      -0.742792793
     43                      -0.704291792
     44                      -0.762362362
     45                      -0.631756757
     46                      -0.404154154
     47                      -0.385435435
     48                      -0.257382382
     49                      -0.275462963
     50                      -0.574324324
     51                      -0.786186186
     52                      -0.609209209
     53                      -0.670045045
     54                      -0.413088088
     55                      -0.411599099
     56                      -0.287162162
     57                      -0.413938939
     58                      -0.328003003
     59                      -0.076789289
     60                      0.172297297 
     61                      -0.132945445
     62                      -0.459034034
     63                      -0.446271271
     64                      -0.574324324
     65                      -0.567942943
     66                      -0.468393393
     67                      -0.574324324
     68                      -0.613463463
     69                      -0.670045045
     70                      -0.691316316
     71                      -0.739389389
     72                      -0.786186186
     73                      -0.670045045
     74                      -0.535610611
     75                      -0.526463964
     76                      -0.643243243
     77                      -0.668768769
     78                      -0.823623624
     79                      -0.866591592
     80                      -0.738113113
     81                      -0.670045045
     82                      -0.818943944
     83                      -0.966353854
     84                      -1.148648649
     85                      -1.075262763
     86                      -1.05462963 
     87                      -1.055905906
     88                      -1.154604605
     89                      -0.953803804
     90                      -0.844469469
     91                      -0.806606607
     92                      -0.457332332
     93                      -0.287162162
     94                      -0.316091091
     95                      -0.428616116
     96                      -0.298648649
     97                      -0.446483984
     98                      -0.371396396
     99                      -0.245683183
     100                     -0.382882883
