X-coordinate(mm)         Y-coordinate(mm)
                               
      0                      0           
      1                      0.026666667 
      2                      -0.055555556
      3                      0.144444444 
      4                      0.068888889 
      5                      -0.077777778
      6                      0.106666667 
      7                      0.228888889 
      8                      0.093333333 
      9                      0.155555556 
      10                     0.222222222 
      11                     0.251111111 
      12                     0.104444444 
      13                     0.482222222 
      14                     0.422222222 
      15                     0.222222222 
      16                     0.224444444 
      17                     0.557777778 
      18                     0.664444444 
      19                     0.722222222 
      20                     0.544444444 
      21                     0.453333333 
      22                     0.748888889 
      23                     1.015555556 
      24                     1.207777778 
      25                     1.222222222 
      26                     1.224444444 
      27                     1.252222222 
      28                     1.08        
      29                     1.1         
      30                     1.222222222 
      31                     1.242222222 
      32                     1.506666667 
      33                     1.86        
      34                     2.113333333 
      35                     2.122222222 
      36                     2.246666667 
      37                     2.535555556 
      38                     2.722222222 
      39                     2.722222222 
      40                     2.722222222 
      41                     2.722222222 
      42                     2.622222222 
      43                     2.655555556 
      44                     2.627777778 
      45                     2.622222222 
      46                     2.477777778 
      47                     2.586666667 
      48                     2.622222222 
      49                     2.717777778 
      50                     2.877777778 
      51                     3.146666667 
      52                     3.317777778 
      53                     3.373333333 
      54                     3.442222222 
      55                     3.433333333 
      56                     3.4         
      57                     3.4         
      58                     3.4         
      59                     3.4         
      60                     3.322222222 
      61                     3.153333333 
      62                     2.846666667 
      63                     2.651111111 
      64                     2.471111111 
      65                     2.222222222 
      66                     1.968888889 
      67                     1.844444444 
      68                     1.762222222 
      69                     1.722222222 
      70                     1.722222222 
      71                     1.675555556 
      72                     1.553333333 
      73                     1.782222222 
      74                     2.091111111 
      75                     2.122222222 
      76                     1.984444444 
      77                     1.782222222 
      78                     1.722222222 
      79                     1.722222222 
      80                     1.722222222 
      81                     1.92        
      82                     1.871111111 
      83                     1.953333333 
      84                     1.964444444 
      85                     2.066666667 
      86                     2.006666667 
      87                     1.922222222 
      88                     2.082222222 
      89                     2.202222222 
      90                     2.122222222 
      91                     2.091111111 
      92                     1.664444444 
      93                     1.531111111 
      94                     1.797777778 
      95                     1.977777778 
      96                     1.997777778 
      97                     1.973333333 
      98                     2.055555556 
      99                     2.142222222 
      100                    2.122222222 
