X-coordinate(mm)         Y-coordinate(mm)
                                                        
      0                      0           
      1                      0.589366516 
      2                      0.711664153 
      3                      1.024635495 
      4                      0.763700352 
      5                      0.653594771 
      6                      0.791855204 
      7                      0.738687783 
      8                      0.133735546 
      9                      -0.087983912
      10                     -0.350678733
      11                     -0.713800905
      12                     -1.020613374
      13                     -1.043237808
      14                     -1.043237808
      15                     -1.054550025
      16                     -0.524886878
      17                     -0.339366516
      18                     -0.13800905 
      19                     0.225741579 
      20                     0.419808949 
      21                     0.276269482 
      22                     -0.054550025
      23                     -0.087983912
      24                     -0.08496732 
      25                     0.103695324 
      26                     0.313348416 
      27                     0.11676722  
      28                     0.02513826  
      29                     0.213549522 
      30                     0.633484163 
      31                     0.917295123 
      32                     0.667169432 
      33                     0.612368024 
      34                     0.631975867 
      35                     0.734665661 
      36                     0.742081448 
      37                     0.791855204 
      38                     0.791855204 
      39                     0.791855204 
      40                     0.791855204 
      41                     0.91603821  
      42                     1.122171946 
      43                     1.363499246 
      44                     1.838109603 
      45                     2.172574158 
      46                     2.508295626 
      47                     2.827048768 
      48                     2.819004525 
      49                     2.664278532 
      50                     2.689793866 
      51                     2.828054299 
      52                     3.257415787 
      53                     3.514328808 
      54                     3.942684766 
      55                     3.987556561 
      56                     3.978381096 
      57                     4.408371041 
      58                     4.339869281 
      59                     4.322523881 
      60                     4.524886878 
      61                     4.826043238 
      62                     5.141528406 
      63                     4.779286073 
      64                     4.461035696 
      65                     4.223856209 
      66                     4.09753645  
      67                     3.799019608 
      68                     3.269482152 
      69                     2.885746606 
      70                     2.907239819 
      71                     2.918300654 
      72                     2.682252388 
      73                     2.676470588 
      74                     3.144293615 
      75                     3.403092006 
      76                     3.69984917  
      77                     4.069130216 
      78                     4.489441931 
      79                     4.716063348 
      80                     5.191050779 
      81                     5.147058824 
      82                     4.06661639  
      83                     3.493966817 
      84                     3.208144796 
      85                     2.91792358  
      86                     2.618652589 
      87                     2.290723982 
      88                     2.090497738 
      89                     2.088612368 
      90                     1.827551533 
      91                     1.910633484 
      92                     1.590246355 
      93                     1.727249874 
      94                     1.689039718 
      95                     1.608848668 
      96                     1.5057818   
      97                     1.86199095  
      98                     2.177978884 
      99                     2.262443439 
      100                    2.086475616 
