X-coordinate(mm)         Y-coordinate(mm)
                            
      0                        0           
      1                        0.163650075 
      2                        0.21040724  
      3                        0.364588989 
      4                        0.5260181   
      5                        0.5260181   
      6                        0.5260181   
      7                        0.451791101 
      8                        0.333378582 
      9                        0.020573152 
      10                       -0.278205128
      11                       -0.388552036
      12                       -0.5260181  
      13                       -0.564417421
      14                       -0.752088989
      15                       -1.216270739
      16                       -1.48453997 
      17                       -1.59138009 
      18                       -1.706636501
      19                       -1.787993967
      20                       -1.779110106
      21                       -1.923005279
      22                       -2.274502262
      23                       -2.699524887
      24                       -2.788597285
      25                       -2.983691554
      26                       -3.278144796
      27                       -3.487383107
      28                       -3.769095023
      29                       -3.892533937
      30                       -3.997737557
      31                       -4.10387632 
      32                       -4.218431373
      33                       -4.530769231
      34                       -4.588748115
      35                       -4.418552036
      36                       -4.241342383
      37                       -4.027311463
      38                       -3.997737557
      39                       -4.087394419
      40                       -3.808371041
      41                       -3.632213424
      42                       -3.600301659
      43                       -3.762899698
      44                       -3.703634992
      45                       -3.555297888
      46                       -3.471719457
      47                       -3.377153092
      48                       -3.428702866
      49                       -3.657579186
      50                       -3.892533937
      51                       -3.892533937
      52                       -3.892533937
      53                       -3.84168552 
      54                       -3.74407994 
      55                       -3.75050905 
      56                       -3.910301659
      57                       -3.996334842
      58                       -3.997737557
      59                       -3.997737557
      60                       -3.829411765
      61                       -3.649805807
      62                       -3.597730015
      63                       -3.460965309
      64                       -3.412337858
      65                       -3.154355204
      66                       -2.784856712
      67                       -2.410682504
      68                       -1.992322775
      69                       -1.870754148
      70                       -1.706636501
      71                       -1.594886878
      72                       -1.578054299
      73                       -1.535622172
      74                       -1.283951735
      75                       -0.996512066
      76                       -0.740633484
      77                       -0.59790724 
      78                       -0.486040724
      79                       -0.243955505
      80                       -0.10520362 
      81                       0.049913273 
      82                       0.42081448  
      83                       0.512692308 
      84                       0.5260181   
      85                       0.433088235 
      86                       0.268853695 
      87                       0.268853695 
      88                       0.44092006  
      89                       0.589257164 
      90                       0.284049774 
      91                       0.184457014 
      92                       0.171131222 
      93                       0.188431373 
      94                       0.21040724  
      95                       0.185859729 
      96                       -0.057043741
      97                       -0.408190045
      98                       -0.621402715
      99                       -0.621402715
      100                      -0.689668175
