X-coordinate(mm)         Y-coordinate(mm)
                                                            
      0                        0           
      1                        -0.219276283
      2                        -0.221524664
      3                        -0.146499751
      4                        -0.209217738
      5                        0.066268062 
      6                        0.146973094 
      7                        0.260338814 
      8                        0.25536871  
      9                        0.242174265 
      10                       0.009466866 
      11                       -0.291697808
      12                       -0.150049826
      13                       -0.424943946
      14                       -1.028811659
      15                       -1.267376682
      16                       -1.278026906
      17                       -1.278026906
      18                       -1.348555057
      19                       -1.481446188
      20                       -0.894618834
      21                       -0.696406328
      22                       -0.48576856 
      23                       0.260338814 
      24                       0.911659193 
      25                       1.837163677 
      26                       2.315595416 
      27                       2.705630294 
      28                       2.556053812 
      29                       2.378195067 
      30                       2.545403587 
      31                       2.140458396 
      32                       1.561086198 
      33                       1.098274788 
      34                       0.920179372 
      35                       0.805866966 
      36                       0.86243149  
      37                       0.587123194 
      38                       0.174190334 
      39                       -0.311341555
      40                       -8.32667E-17
      41                       -0.04733433 
      42                       -0.134666168
      43                       -0.005857623
      44                       0.088041854 
      45                       -0.12839437 
      46                       0.168273543 
      47                       0.020235426 
      48                       -0.615346288
      49                       -0.374887892
      50                       0.213004484 
      51                       0.610257848 
      52                       0.532511211 
      53                       1.181583209 
      54                       1.49103139  
      55                       1.38334579  
      56                       1.018634778 
      57                       1.065022422 
      58                       1.028811659 
      59                       0.825037369 
      60                       0.695814649 
      61                       0.957100149 
      62                       1.009641256 
      63                       1.370328849 
      64                       1.716816143 
      65                       1.867930992 
      66                       1.995852018 
      67                       1.913371948 
      68                       2.1295715   
      69                       2.058925012 
      70                       1.876806178 
      71                       1.597533632 
      72                       1.644394619 
      73                       1.49103139  
      74                       2.048866467 
      75                       1.985083458 
      76                       1.830891878 
      77                       1.631022671 
      78                       0.771076233 
      79                       0.339150473 
      80                       0.231938216 
      81                       0.800896861 
      82                       1.686285501 
      83                       2.23867713  
      84                       2.30470852  
      85                       2.647172397 
      86                       2.592501246 
      87                       2.295596662 
      88                       2.295714998 
      89                       2.360563029 
      90                       2.403400598 
      91                       2.270154459 
      92                       2.299501744 
      93                       1.967333084 
      94                       1.34027155  
      95                       1.221817389 
      96                       1.437780269 
      97                       1.252466368 
      98                       0.444706029 
      99                       0.450504484 
      100                      0.319506726 
