X-coordinate(mm)         Y-coordinate(mm)
                           
      0                      0           
      1                      0.332041344 
      2                      0.494832041 
      3                      0.713178295 
      4                      0.728682171 
      5                      0.645994832 
      6                      0.904392765 
      7                      0.875322997 
      8                      0.54005168  
      9                      0.324289406 
      10                     0.045219638 
      11                     -0.328165375
      12                     -0.612403101
      13                     -0.80749354 
      14                     -0.516795866
      15                     -0.516795866
      16                     -0.036175711
      17                     0.19250646  
      18                     0.387596899 
      19                     0.387596899 
      20                     0.348837209 
      21                     0.525839793 
      22                     0.313953488 
      23                     0.100129199 
      24                     0.074935401 
      25                     -0.151808786
      26                     -0.612403101
      27                     -0.516795866
      28                     -0.617571059
      29                     -1.220284238
      30                     -1.505167959
      31                     -1.82881137 
      32                     -2          
      33                     -2.028423773
      34                     -1.73255814 
      35                     -1.511627907
      36                     -0.994832041
      37                     -0.42377261 
      38                     -0.258397933
      39                     -0.072997416
      40                     0.064599483 
      41                     0.133074935 
      42                     0.180878553 
      43                     0.259043928 
      44                     0.235142119 
      45                     0.778423773 
      46                     0.941860465 
      47                     1.120155039 
      48                     1.416020672 
      49                     1.336563307 
      50                     1.369509044 
      51                     1.512919897 
      52                     1.602067183 
      53                     1.687984496 
      54                     1.710594315 
      55                     2.031653747 
      56                     2.439276486 
      57                     2.924418605 
      58                     3.015503876 
      59                     3.312661499 
      60                     3.436692506 
      61                     3.221576227 
      62                     3.355297158 
      63                     3.434108527 
      64                     3.643410853 
      65                     3.620801034 
      66                     3.562015504 
      67                     3.650516796 
      68                     3.904392765 
      69                     4.09496124  
      70                     3.95994832  
      71                     3.901808786 
      72                     3.901808786 
      73                     3.785529716 
      74                     3.727390181 
      75                     3.785529716 
      76                     3.643410853 
      77                     3.640180879 
      78                     3.777777778 
      79                     3.50129199  
      80                     3.643410853 
      81                     3.419250646 
      82                     3.23126615  
      83                     3.204134367 
      84                     3.118863049 
      85                     2.929586563 
      86                     2.739018088 
      87                     2.739018088 
      88                     2.790697674 
      89                     2.654392765 
      90                     2.38372093  
      91                     2.189276486 
      92                     1.710594315 
      93                     1.414082687 
      94                     1.26744186  
      95                     1.130490956 
      96                     1.157622739 
      97                     1.379198966 
      98                     1.391472868 
      99                     1.365633075 
      100                    1.408268734 
