Bin Center         Relative Frequency
      -0.11              0.50251           
      -0.09              2.01005 
      -0.07              3.51759 
      -0.05              7.03518 
      -0.03              15.07538
      -0.01              19.59799
      0.01               23.61809
      0.03               15.07538
      0.05               9.54774 
      0.07               3.01508 
      0.09               1.00503 
      0.11               0       
