Bin Center         Relative Frequency
-0.07                  0.50251 
-0.05                  4.0201             
-0.03                  17.58794
-0.01                  25.62814
0.01                   29.14573
0.03                   14.07035
0.05                   6.03015 
0.07                   3.01508 
