Bin Center         Relative Frequency
    -0.275               0.50251                                      
    -0.225               1.00503 
    -0.175               0.50251 
    -0.125               4.0201  
    -0.075               16.58291
    -0.025               22.11055
    0.025                24.1206 
    0.075                22.11055
    0.125                8.0402  
    0.175                1.00503 
    0.225                0       
