Bin Center         Relative Frequency
     -0.11                 1.00503          
     -0.09                 1.00503 
     -0.07                 3.01508 
     -0.05                 5.52764 
     -0.03                 13.06533
     -0.01                 15.07538
     0.01                  27.13568
     0.03                  15.07538
     0.05                  8.54271 
     0.07                  7.53769 
     0.09                  3.01508 
     0.11                  0       
