Bin Center         Relative Frequency
     -0.1075              1.50754          
     -0.0825              9.04523 
     -0.0575              8.0402  
     -0.0325              18.09045
     -0.0075              20.60302
     0.0175               16.0804 
     0.0425               15.07538
     0.0675               8.0402  
     0.0925               3.01508 
     0.1175               0.50251 
     0.1425               0       
