Bin Center         Relative Frequency
 -0.045                 0.50251            
 -0.035                 2.51256     
 -0.025                 6.03015     
 -0.015                 15.57789    
 -0.005                 16.58291    
 0.005                  33.66834    
 0.015                  13.56784    
 0.025                  6.53266     
 0.035                  3.51759     
 0.045                  1.00503     
 0.055                  0.50251     
 0.065                  0           
