Bin Center         Relative Frequency
-0.225                 1.50754 
-0.175                 2.51256                       
-0.125                 7.03518 
-0.075                 12.0603 
-0.025                 31.15578
0.025                  22.11055
0.075                  11.05528
0.125                  7.53769 
0.175                  3.01508 
0.225                  1.50754 
0.275                  0.50251 
