Bin Center         Relative Frequency
      -0.18               1.50754                                     
      -0.14               2.51256 
      -0.1                8.54271 
      -0.06               13.56784
      -0.02               19.09548
      0.02                29.64824
      0.06                16.0804 
      0.1                 5.02513 
      0.14                3.01508 
      0.18                1.00503 
