Bin Center         Relative Frequency
     -0.18                  0.50251     
     -0.14                  1.00503 
     -0.1                   5.02513 
     -0.06                  15.57789
     -0.02                  25.12563
     0.02                   27.13568
     0.06                   17.58794
     0.1                    4.0201  
     0.14                   3.51759 
     0.18                   0.50251 
